"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean"
"UNBOTHERED",1.412,0,0,1.824,0,1.941
"UNBOUND",1.75,0.062,1.938,1.25,0,3.812
"UNBOUNDED",1.333,0.133,1.6,2,0.133,2.867
"UNBOWED",1.412,0,0.529,1,0,2.471
"UNBOXED",1.2,0,2.25,0.2,0.1,4.25
"UNBRAID",0.429,0.214,2.429,0.714,0,3.429
"UNBRAIDED",0.059,0,2,0.118,0,3.294
"UNBRANDED",0.176,0,0.353,0.176,0.059,3.176
"UNBREAKABLE",0.762,0.048,2.095,0.19,0.095,2.381
"UNBRIDLE",0.615,0,1.154,0.308,0,2.538
"UNBRIDLED",1.769,0.385,1.308,1.154,0.385,2.846
"UNBROKEN",0.421,0,1.632,0.053,0,3.579
"UNBUCKLE",2.421,0.211,3.211,0.842,0.105,3.526
"UNBUCKLED",1,0,2.778,0.556,0.278,3.556
"UNBUDGETED",0,0,0,0,0,1.353
"UNBUNDLE",0.294,0,1.706,0.059,0,2.765
"UNBUNDLED",0.733,0.333,1,0.133,0.267,2.933
"UNBURDEN",1.111,0.5,1,2.222,0.056,2.111
"UNBURDENED",1.167,0,0.556,1.278,0,2
"UNBURIED",0.588,0.176,0.706,0.235,0.294,2.706
"UNBURNABLE",0.25,0.062,1.375,0.375,0.625,3.375
"UNBURNED",0.267,1.867,2.8,1.333,2,4.4
"UNBURY",0.938,0.062,1.312,0.375,0.188,3.062
"UNBUTTON",0.419,0.032,3.29,0.097,0.032,3.097
"UNBUTTONED",0.176,0,2.412,0.294,0,4
"UNCALCULATED",1.211,0.053,0.105,0.789,0.053,2.158
"UNCALCULATING",1.3,0.167,0.233,1.167,0.167,1.667
"UNCALLED",2,0,0.056,0.556,0,0.444
"UNCANNILY",2.133,0.067,0,1.867,0.067,2.533
"UNCANNY",1.286,0.429,0.357,1.429,0.357,1.714
"UNCANVASSED",0.429,0.071,0.857,0.5,0.143,2.643
"UNCAP",1.4,0.067,2.267,0,0.2,3.2
"UNCAPPED",0.389,0,1.722,0.111,0.278,3.056
"UNCAPSIZABLE",0.278,0.056,1.222,0.278,0.111,3.167
"UNCAPTIONED",1,0.286,0.214,0.214,0.071,3.857
"UNCARING",1.938,0.312,1.062,1.812,0.312,2.812
"UNCARPETED",0.471,0,2.529,0.059,0,4.235
"UNCASED",0.333,0.133,1.933,0.133,0.133,2.267
"UNCATCHABLE",0.5,0.05,1,0.6,0.05,2.25
"UNCATEGORIZED",0.429,0.143,0.143,0.19,0.19,2
"UNCEASING",1.643,0.071,0.429,0.929,0.143,2
"UNCEASINGLY",1.643,0.143,0.429,1.071,0.143,2.071
"UNCELEBRATED",1.647,0.235,0.353,1.765,0.235,1.882
"UNCENSORED",2.611,0.111,0.389,1.056,0,3.556
"UNCEREMONIOUS",2.278,0.167,0.389,1.111,0.167,2.778
"UNCEREMONIOUSLY",1.688,0,0.5,0.875,0.062,2.875
"UNCERTAIN",1.6,0.45,0.65,2.95,0.3,1.45
"UNCERTAINLY",1.579,0.053,0.263,2.947,0.053,1.316
"UNCERTAINNESS",1.45,0.45,0.9,3.95,0.5,1.55
"UNCERTAINTY",1.444,0.333,0.778,3.944,0.167,1.722
"UNCERTIFIED",1.25,0.5,0.438,0.875,0.625,2.188
"UNCHAIN",1,0,1.353,0.588,0,2.706
"UNCHAINED",0.786,0,1.786,1.071,0.071,3.786
"UNCHALLENGEABLE",1.667,0.111,0.278,1.333,0.167,1.833
"UNCHALLENGED",2.15,0.1,0.4,1.25,0.1,2.4
"UNCHALLENGING",1.526,0,0.579,1.947,0.105,2.105
"UNCHANGEABLE",1.175,0.275,0.5,1.225,0.25,2.325
"UNCHANGEABLENESS",2.167,0.278,0.611,1.944,0.278,2.333
"UNCHANGEABLY",0.684,0.053,0.474,0.789,0.053,2.158
"UNCHANGED",1.686,1.2,1.743,1.343,1.229,3.229
"UNCHANGING",1.824,0.765,1.765,1.765,0.706,3.588
"UNCHANGINGLY",1.235,0.353,0.529,1.235,0.353,1.941
"UNCHARACTERISTIC",2.2,0.45,0.75,1.1,0.6,2.65
"UNCHARACTERISTICALLY",1.722,0.167,0.167,1.167,0.111,2.167
"UNCHARACTERIZED",1.944,0.333,0.556,1.056,0.333,2.389
"UNCHARGED",1,0.357,0.929,0.643,0.214,2.429
"UNCHARITABLE",2.25,0.1,0.25,1.35,0.05,2.85
"UNCHARITABLY",1.611,0.056,0.222,0.778,0.056,2.278
"UNCHARTED",0.867,0.067,0.533,0.8,0.067,2.133
"UNCHARTERED",1.294,0.235,0.265,0.324,0.029,2.088
"UNCHASTE",0.583,0,0.417,2.083,0.25,1.833
"UNCHECK",0.176,0.059,1,0.647,0.059,3.294
"UNCHECKED",1.111,0.111,0.444,0.5,0.278,2.278
"UNCHRISTIAN",2.882,0.176,0.412,1.588,0.176,3.118
"UNCIRCULATED",0.706,0,0.588,1.118,0.471,2.353
"UNCIRCUMCISED",0,0.188,1,0.312,0.062,2.375
"UNCIVIL",2.421,0,0.263,1.789,0.105,2.737
"UNCIVILIZED",2.9,0.35,0.65,1.25,0.9,3.95
"UNCIVILLY",2,0,0.2,1.133,0.533,2.467
"UNCLAD",0.286,0,1.571,0.5,0,2.429
"UNCLAIMED",1.316,0.263,0.263,0.158,0.211,2.579
"UNCLAMP",0.882,0.059,2.706,0.706,0.059,3.824
"UNCLAMPED",0.765,0.176,1.824,0.294,0.176,3.235
"UNCLASP",1.667,0.286,3.857,0.571,0.333,3.238
"UNCLASPED",0.875,0.375,1.875,0.5,0.188,2.75
"UNCLASSIFIABLE",1.4,0.629,0.914,1.229,0.686,2.457
"UNCLASSIFIED",1.158,0.105,0.579,0.263,0.105,2.368
"UNCLE",3.4,0.1,1.65,0.45,0.85,4.15
"UNCLEAN",0.632,0.526,2.526,1.105,2.842,4
"UNCLEANLY",0.882,0.471,2.059,1.118,2.118,3.471
"UNCLEANNESS",0.235,0.353,1.941,0.471,2.765,4.235
"UNCLEAR",2.944,0.556,0.778,2.056,0.611,3.667
"UNCLENCH",0.625,0.062,2.875,1.438,0,3.125
"UNCLICK",2.35,0,1.95,0.05,0.1,1.95
"UNCLIP",1.5,0.111,2.778,0.333,0.056,2.889
"UNCLIPPED",0.556,0.056,1.333,0.5,0.167,3.167
"UNCLOAK",0.667,0.278,1.444,0.667,0.278,3.778
"UNCLOAKED",0.533,0.2,1.667,0.867,0.2,3
"UNCLOG",1.176,0,1.706,0.294,0.529,2.941
"UNCLOGGED",1.333,0,1.333,0.333,0.167,3.944
"UNCLOSED",0.684,0,1.684,0.105,0.211,4.105
"UNCLOTHE",0.333,0,2.75,1.25,0.167,3.167
"UNCLOTHED",0.278,0,2.222,1.444,0.056,4.056
"UNCLOUDED",0.933,0.4,0.467,0.4,0.267,3.8
"UNCLUTTERED",0.588,0.471,1.412,0.294,0.294,4.471
"UNCOATED",0.625,0.625,3.375,0.312,0.375,4.188
"UNCOIL",1,0,2.353,0.824,0,3.471
"UNCOILED",0.375,0,1.375,0.625,0,2.75
"UNCOLLECTED",0.55,0.05,0.6,0.55,0.15,2.35
"UNCOLLECTIBLE",0.647,0,0.235,0.294,0,2.235
"UNCOLORED",0.158,0.211,0.368,0.316,0.211,4.368
"UNCOMBED",0.048,0,2.143,0.571,0.048,4
"UNCOMBINED",0.737,0.316,1.421,0.684,0.368,3.211
"UNCOMELY",0.75,0.083,0.167,0.25,0.083,2.75
"UNCOMFORTABLE",1.375,0.062,1.062,4.312,0.312,2.312
"UNCOMFORTABLY",1.882,0.647,1.647,3.176,0.706,2.059
"UNCOMFORTED",1.312,0,0.625,2.938,0,1.438
"UNCOMFORTING",2.1,0.3,1.45,2.75,0.2,2.15
"UNCOMMENTED",1.615,0,0.231,0.769,0,1.923
"UNCOMMITTED",2.056,0.056,0.167,1.444,0,1.778
"UNCOMMON",1.211,0.316,0.632,1.211,0.316,1.316
"UNCOMMONLY",1.389,0.278,0.722,0.833,0.222,2.722
"UNCOMMONNESS",1.944,0.889,0.778,1.056,0.722,3
"UNCOMMUNICATIVE",3.571,0,0.286,1,0,2
"UNCOMMUNICATIVELY",2.235,0,0.118,0.706,0,1.471
"UNCOMMUNICATIVENESS",2.688,0,0.062,0.812,0,1.875
"UNCOMPASSIONATE",2.944,0,0.389,2.5,0,2.944
"UNCOMPELLED",1.222,0.222,0.5,2,0.278,1.611
"UNCOMPENSATED",0.737,0,0,0.737,0,1.684
"UNCOMPETITIVE",2,0.105,0.474,2.368,0.316,3
"UNCOMPLETED",1.895,0.211,1.368,1.053,0.263,3.789
"UNCOMPLICATED",3.05,0.65,0.65,1.45,0.4,3.8
"UNCOMPLIMENTARY",2.625,0.562,0.438,0.5,0.5,2.188
"UNCOMPOUNDED",0.727,0,0.909,0.091,0,2.636
"UNCOMPREHENDING",1.812,0,0.188,2,0,1.625
"UNCOMPREHENDINGLY",2.312,0.125,0.25,1.75,0.062,1.562
"UNCOMPRESSED",0.643,0,1.929,1.357,0,2.929
"UNCOMPRESSIBLE",0.625,0.188,1.875,0.375,0.312,2.062
"UNCOMPROMISED",1.294,0.118,0.412,1.059,0.176,1.824
"UNCOMPROMISING",2.526,0.053,0.526,1.263,0,1.947
"UNCOMPROMISINGLY",2.294,0.294,0.588,1.882,0.294,2.059
"UNCONCEALED",0.944,0.222,0.944,0.889,0.167,4.611
"UNCONCEIVABLE",1.647,0,0.059,2.353,0,1.471
"UNCONCERN",0.833,0,0,3.167,0,1.167
"UNCONCERNED",2.278,0.111,0.278,1.889,0.111,2.444
"UNCONCERNEDLY",2.471,0.471,0.706,2.176,0.529,3.176
"UNCONCLUDED",1.615,0.154,0.154,1.615,0.231,1.769
"UNCONDENSED",0.9,1,0.95,0.4,0.25,2.55
"UNCONDITIONAL",1.25,0,0.5,1.188,0.5,1.062
"UNCONDITIONALLY",1.882,0.176,0.529,2.176,0.412,1.5
"UNCONDITIONED",1,0.4,0.8,0.933,0.533,2.8
"UNCONFIDENT",2.353,0.176,0.529,3.882,0.294,2.529
"UNCONFIDENTLY",1.812,0,0.312,2.062,0,1.812
"UNCONFINED",1.25,0,1.938,1.375,0,3.375
"UNCONFIRMED",1.647,0,0.059,0.588,0,1.647
"UNCONFORMABLE",1.733,0.533,2.467,2.8,0.6,2.8
"UNCONFORMITY",0.706,0,0,0.824,0,2.176
"UNCONFUSED",1.278,0,0.167,2.444,0.056,1.5
"UNCONGESTED",1.348,0.478,0.174,3.348,0.87,1.652
"UNCONNECTED",1.118,0,1.647,2.118,0.059,3.294
"UNCONNECTEDLY",0.722,0,0.722,1.056,0,1.611
"UNCONQUERABLE",0.92,0.56,0.56,1.64,0.36,1.92
"UNCONQUERED",1.375,0,0.375,1.875,0,2.25
"UNCONSCIENTIOUSLY",1.471,0,0,1.294,0,1.294
"UNCONSCIONABLE",1,0.412,0.588,1.294,0.412,1.412
"UNCONSCIONABLY",2.375,0.438,0.5,2,0.438,2.312
"UNCONSCIOUS",0.368,0,0.526,2.632,0,2.526
"UNCONSCIOUSLY",1.056,0.278,0.5,2.944,0.444,1.333
"UNCONSCIOUSNESS",0.263,0,0.211,2.895,0.053,1.842
"UNCONSIDERED",2.059,0,0.059,1.529,0,1.824
"UNCONSOLIDATED",1.286,0,0.214,0.071,0,2.929
"UNCONSTITUTIONAL",3.556,0,0.111,0.722,0,3.389
"UNCONSTITUTIONALITY",1.444,0,0.111,0.833,0,2.056
"UNCONSTITUTIONALLY",2.053,0,0.053,0.737,0,2.158
"UNCONSTRAINED",1.429,0.643,1.286,0.643,0.5,2.429
"UNCONSTRUCTED",0.562,0,0.812,0,0,3.125
"UNCONSTRUCTIVE",3.125,0,0.25,1.375,0,2.812
"UNCONSUMED",0.5,0.3,1.05,1.05,0.3,2.5
"UNCONSUMMATED",1.25,0,0.5,1.583,0,1.583
"UNCONTAINABLE",1.429,0.429,0.643,1,0.571,2.357
"UNCONTAINED",1.19,0.333,1.19,1.238,0.524,3
"UNCONTAMINATED",0.316,1.263,0.737,0.579,1.789,2.895
"UNCONTESTABLE",2.353,0.176,0.294,0.765,0.176,2.353
"UNCONTESTED",1.824,0,0,0.647,0,1.588
"UNCONTRIVED",1.571,0.214,0.857,0.571,0.214,2.357
"UNCONTROLLABILITY",2.529,0.471,1.059,2.647,0.529,3.412
"UNCONTROLLABLE",0.375,0.062,0.375,2.312,0,1.375
"UNCONTROLLABLY",0.6,0.4,0.733,2.733,0.467,0.933
"UNCONTROLLED",2.316,0.105,1.474,1.737,0.211,3.105
"UNCONTROVERSIAL",1.588,0,0,1.294,0,1.294
"UNCONVENTIONAL",1.667,0.429,0.238,0.714,0.19,2.476
"UNCONVENTIONALITY",2.438,0.312,0.625,1.062,0.344,2.875
"UNCONVENTIONALLY",1.421,0.263,0.526,1.421,0.211,2.579
"UNCONVERTED",1,0.267,0.6,0.733,0.267,2.267
"UNCONVERTIBLE",1.125,0,1.125,0.312,0,3.938
"UNCONVINCED",2.1,0,0.1,2.35,0,1.7
"UNCONVINCING",2.632,0.105,0.105,1.368,0,1.789
"UNCONVINCINGLY",2.941,0.353,0.412,1.588,0.353,3
"UNCOOKED",0.389,2.944,1.722,0.667,1.556,3.778
"UNCOOPERATIVE",1.778,0,0.056,1.278,0,3
"UNCOORDINATED",1.824,0.412,0.824,1.882,0.353,3.529
"UNCORK",2.2,0.32,1.88,0.2,0.44,3.28
"UNCORKED",1.675,0.225,1.25,0.225,0.575,3.5
"UNCORKING",3.667,0.6,2.733,0.133,1,4.133
"UNCORRECTABLE",0.947,0.053,0.158,1,0.053,2.211
"UNCORRECTED",2.188,0.062,0.312,0.25,0.125,3.25
"UNCORRELATED",2.167,0.111,0.167,0.278,0.111,2.556
"UNCORRUPT",1.3,0.1,0.2,0.9,0.2,1.95
"UNCORRUPTED",1.789,0.474,0.421,1.421,0.684,3
"UNCORRUPTING",1.176,0.176,0.176,1.353,0.176,2.118
"UNCOUNTABLE",1.176,0,0.176,0.412,0,1.824
"UNCOUNTED",1.611,0.111,1,0.722,0.111,2.556
"UNCOUPLE",1.467,0,1.533,1.133,0,2.8
"UNCOUPLED",1.667,0,1,0.467,0,3.4
"UNCOURAGEOUS",1.062,0,0,1.438,0,1.875
"UNCOUTH",2.412,0.176,0.294,1.059,0.118,2.824
"UNCOUTHLY",1.538,0.308,0.692,1,0.385,2.385
"UNCOUTHNESS",2.1,0.1,0.8,2.5,0.8,2.2
"UNCOVER",1.3,0.1,1.35,0.7,0.3,3.3
"UNCOVERED",0.5,0,2,0.65,0.55,4.15
"UNCREATED",0.353,0.235,0.353,0.647,0.176,1.235
"UNCREATIVE",1.368,0.737,0.263,1.684,0.263,2.632
"UNCRITICAL",1.263,0.158,0.158,1.211,0.158,0.632
"UNCRITICALLY",2,0,0.062,0.812,0.062,1.625
"UNCROSS",0.562,0.062,1.188,0.25,0,3.25
"UNCROSSED",0.368,0,1,0.421,0,2.421
"UNCROWN",0.933,0,0.533,0,0,3.467
"UNCROWNED",0.786,0.143,0.571,0.429,0.286,2.571
"UNCROWNING",0.917,0,1.333,1.083,0.25,2.333
"UNCRUSHABLE",1.217,0,3.217,1.043,0,3.783
"UNCRUSHED",0.353,0.235,2.176,0.824,0,3.294
"UNCULTIVATED",2.389,0.833,0.556,1.056,0.389,3.167
"UNCULTURED",2.214,0.571,0.643,1,0.714,3.214
"UNCURED",0.895,1.684,0.474,0.789,1.263,2.579
"UNCURIOUS",0.622,0.378,0.432,2,0.541,1.378
"UNCURL",0.611,0,2.833,0.889,0,3.444
"UNCURLED",0.176,0.118,1.353,0.294,0.176,3.059
"UNCURLING",0.538,0.154,1.846,0.846,0.077,2.769
"UNCUSTOMARY",2.389,0.111,0.222,0.722,0.167,3.111
"UNCUT",1.176,0.118,2.118,0.471,0.176,4.235
"UNDAMAGED",0.947,0.263,3.053,0.737,0.263,4.211
"UNDAMAGING",0.524,0.286,0.857,0.619,0.286,2.476
"UNDAMMED",1,0,0.222,0.556,0,2.389
"UNDATED",1.895,0.158,0.158,0.053,0.158,2.895
"UNDAUNTED",1.286,0,0.357,3.071,0,2.286
"UNDAUNTEDLY",1.4,0,0,2.467,0,2.333
"UNDEAD",2.706,0.118,2.059,1.412,1.529,3.176
"UNDECEIVE",1.294,0.176,0.176,1.765,0.176,1.647
"UNDECEIVED",1.944,0.111,0.222,1.722,0.111,2.222
"UNDECEIVING",1.2,0,0.2,1.4,0.133,1.467
"UNDECIDED",1.771,0.171,0.343,2.257,0.171,1.686
"UNDECIDEDLY",1.267,0,0,2.067,0,1.6
"UNDECIPHERABLE",2.059,0.471,0.941,1.059,0.471,2.706
"UNDECLARED",1.733,0.067,0.133,0.4,0.067,2
"UNDECORATED",0.118,0,0.353,0.235,0,4.176
"UNDEDICATED",1.444,0.278,0.5,1.944,0.278,2.056
"UNDEFEATABLE",1.4,0.05,0.6,1.8,0.1,2.85
"UNDEFEATED",1.706,0,0.118,1.765,0.059,3.235
"UNDEFENDED",1.474,0.105,0.263,0.526,0.053,3.316
"UNDEFILED",0.714,0.714,1.214,0.5,0.714,2.143
"UNDEFINED",1.278,0.333,0.5,1.222,0.5,2.722
"UNDELETED",0.312,0.062,0.438,0.438,0.062,3.062
"UNDELIVERABLE",1.265,0.147,0.706,0.794,0.147,2.941
"UNDELIVERED",0.462,0,0.462,0.462,0,1.692
"UNDEMANDING",2.105,0.105,0.368,1.474,0.105,2
"UNDEMOCRATIC",1.905,0,0,1.667,0,1.667
"UNDEMOCRATICALLY",1.765,0.176,0.235,1.529,0.118,1.882
"UNDEMONSTRATED",1.444,0.333,0.5,0.444,0.167,2.278
"UNDEMONSTRATIVE",1.774,0.194,0.323,0.484,0.194,2.29
"UNDEMONSTRATIVELY",2.154,0.077,0.231,0.462,0.077,2.769
"UNDENIABLE",2.333,0.278,0.667,2.056,0.444,2.056
"UNDENIABLY",2.375,0.688,0.875,1.5,0.438,2
"UNDENOMINATIONAL",1.273,0,0.364,0.455,0,1.182
"UNDEPENDABLE",1.895,0,0.263,2.789,0,2.474
"UNDEPENDABLY",1.85,0.05,0.4,1.35,0.05,2.25
"UNDER",0.7,0.25,1.1,0.85,0.4,3.15
"UNDER CONTROL",2.118,0.471,1.059,2.941,0.529,2.882
"UNDER FIRE",2.686,0,0.571,1.457,0.229,3.229
"UNDERACHIEVE",1.278,0.111,0.389,1.389,0.111,2
"UNDERACHIEVEMENT",1.455,0.182,0.364,1.682,0.182,2.636
"UNDERACHIEVER",2.056,0,0.111,1.222,0.222,2.778
"UNDERAGE",1.579,0.053,0.158,0.789,0.053,2.684
"UNDERAPPRECIATED",2.765,0.471,0.588,2.941,0.471,2.882
"UNDERARM",0.438,0.062,2.562,0.5,1.812,3.875
"UNDERBELLY",1.062,0,2.125,0,0,3.75
"UNDERBID",2.059,0.176,0.412,0.824,0.235,2.294
"UNDERBODY",0.059,0,1,0.529,0.059,3.176
"UNDERBRED",0.75,0,0,0,0,1.833
"UNDERBRUSH",0.706,0.294,1.588,0.353,0.353,3.353
"UNDERCAPITALIZATION",0.438,0,0.125,0.375,0,2.438
"UNDERCARRIAGE",1.062,0.125,2.375,0.312,0.25,4.062
"UNDERCHARGE",0.941,0,0.118,0.765,0,2.235
"UNDERCHARGED",0.882,0.059,0.588,1.059,0.059,2.059
"UNDERCLASS",1,0.105,0.421,0.579,0.158,2.368
"UNDERCLASSMAN",2.3,0,0.65,0.35,0.3,3.1
"UNDERCLOTHES",0.059,0,2.824,0.235,0.294,3.294
"UNDERCLOTHING",0.25,0.05,3.65,1,0.5,3.95
"UNDERCOAT",0.5,0,1.786,0.714,0.214,3.786
"UNDERCOATED",0.333,0.133,1.6,0.4,0.067,2.8
"UNDERCOATING",0.278,0.111,0.944,0.167,0.222,2.778
"UNDERCOOK",0.471,3.941,2.059,0.706,2.059,3.471
"UNDERCOOKED",0.167,4,1.444,0.667,1.5,3.278
"UNDERCOVER",0.556,0.278,0.889,0.944,0.278,2.056
"UNDERCOVER AGENT",1.5,0,0.45,0.5,0.1,2.8
"UNDERCURRENT",1.211,0,2.579,1.684,0.053,2.632
"UNDERCUT",0.529,0.176,0.588,0.529,0.059,2.706
"UNDERCUTTING",1.579,0,0.316,0.316,0,2.368
"UNDERDEVELOP",0.778,0.222,0.667,0.778,0.167,3.278
"UNDERDEVELOPED",1.444,0.278,1.444,0.889,0.222,2.944
"UNDERDEVELOPMENT",0.545,0,0.273,0.091,0.091,2.182
"UNDERDOG",1.389,0.139,0.25,1.278,0.278,2.833
"UNDERDONE",0.556,3,1.778,0.833,1.556,3.833
"UNDERDRESSED",0.267,0.133,0.8,1.2,0.067,4.733
"UNDEREDUCATED",2.059,0.118,0.176,0.647,0.176,1.882
"UNDEREMPLOYMENT",1,0,0,0.765,0,1.588
"UNDERESTIMATE",1.238,0.143,0.238,0.762,0.143,1.476
"UNDERESTIMATION",1.778,0.5,0.667,1,0.389,2.056
"UNDEREXPOSE",0.176,0.059,0.294,0.353,0.235,3.235
"UNDEREXPOSED",0.316,0,0.316,0.368,0,2.842
"UNDEREXPOSURE",0.133,0.267,0.533,0.733,0.333,2.333
"UNDERFED",0.412,0.176,0.588,2.059,0.294,2.294
"UNDERFEED",0.375,0.188,0.5,1.25,0.062,2.188
"UNDERFOOT",0.471,0,2,0.353,0,3.294
"UNDERFUND",0.632,0,0,0.053,0,1.474
"UNDERFUNDED",1.5,0,0.15,0.65,0,2.4
"UNDERGARMENT",0.1,0,3,0.05,0.25,3.5
"UNDERGO",0.85,0.05,0.4,1.8,0.05,2.1
"UNDERGOING",1.333,0,0.278,1.389,0.056,1.278
"UNDERGRAD",1.778,0.222,0.778,0.611,0.278,3.167
"UNDERGRADUATE",1.176,0.059,0.706,1.471,0.235,2.176
"UNDERGROUND",1.444,0.278,1.722,1.167,0.889,4.111
"UNDERGROWTH",0.062,0,1.938,0.188,0.5,3.688
"UNDERHAND",0.6,0,0.6,0.3,0.1,2.8
"UNDERHANDED",1.875,0.188,0.688,1.062,0.25,2.312
"UNDERHANDEDLY",0.643,0.214,0.357,0.857,0,1
"UNDERHANDEDNESS",2.375,0,0.188,1.625,0,3.5
"UNDERINSURED",1,0,0.263,0.526,0,1.947
"UNDERLAY",0.5,0,1.85,0,0,2.6
"UNDERLIE",1.2,0.333,0.4,1,0.333,2.533
"UNDERLINE",0.833,0.278,0.611,0.389,0.278,3.444
"UNDERLING",1.067,0.333,0.533,0.867,0.333,2.333
"UNDERLINING",0.778,0.167,1.444,0.5,0.222,3.278
"UNDERLYING",1.062,0.125,0.312,0.75,0.125,2
"UNDERMANNED",0.733,0,0,0.467,0,2.667
"UNDERMINE",1.444,0.222,0.111,1.5,0.167,1.389
"UNDERMINING",3.875,0,0,1.125,0,3.75
"UNDERMOST",0.688,0.125,2.188,0.5,0.125,3.812
"UNDERNEATH",0.579,0,1.421,0.421,0,4.053
"UNDERNOURISHED",0.118,0.471,0.118,1.529,0,2.412
"UNDERNOURISHMENT",0.588,0.324,1.118,2.735,0.176,3.353
"UNDERNUTRITION",0.062,0.062,0.438,2,0.188,2.562
"UNDERPAID",1.765,0,0.294,1.529,0,3.176
"UNDERPANTS",0.333,0.167,3.167,0.722,0.611,4.111
"UNDERPASS",1.2,0,0.55,0.25,0.2,3.95
"UNDERPAY",0.947,0,0,1.474,0,1.632
"UNDERPAYMENT",1.2,0,0.133,1.133,0,2.467
"UNDERPERFORM",1.882,0,0.588,0.941,0,3.471
"UNDERPERFORMANCE",2.15,0.05,0.3,0.6,0,3.45
"UNDERPINNING",0.182,0,1,0,0,2.182
"UNDERPOWERED",1.056,0.167,1.667,2.278,0.222,2.5
"UNDERPREPARED",1.333,0.444,0.444,1.556,0.278,2.389
"UNDERPRIVILEGED",1.32,0.44,0.56,1.2,0.4,3.12
"UNDERPRODUCTION",1.688,0.188,0.438,0.812,0.188,4.188
"UNDERPRODUCTIVE",0.5,0.167,0.222,0.611,0.167,2.111
"UNDERRATE",2.2,0.7,0.8,0.9,0.65,2.25
"UNDERRATED",0.706,0.235,0.118,0.941,0.176,1.353
"UNDERRATING",2.312,0.125,0.25,0.438,0,2.312
"UNDERREPRESENTATION",2.05,0.3,0.3,1.3,0.2,2.45
"UNDERREPRESENTED",1.889,0.278,0.167,0.667,0,2.889
"UNDERSCORE",1.059,0.235,0.412,1,0.118,3.706
"UNDERSEA",1.211,0.632,1.474,0.789,1.053,3.421
"UNDERSELL",2,0.267,0.4,0.933,0.067,3.267
"UNDERSELLING",3.222,0,0.167,0.444,0,2.278
"UNDERSEXED",1.071,0,0,1.929,0,1.214
"UNDERSHIRT",0.189,0.054,3.811,0.514,0.811,4.189
"UNDERSHORTS",0.294,0,3.706,0.118,0.353,4.706
"UNDERSHOT",1,0.214,1.214,0.857,0.214,3
"UNDERSIDE",0.412,0.176,1.706,0,0.176,3.882
"UNDERSIGN",0.6,0.3,0.5,0.1,0.1,3
"UNDERSIGNED",0.5,0.071,0.714,0.429,0,1.714
"UNDERSIZE",0.105,0,1.842,0.632,0,3.684
"UNDERSIZED",0.158,0.053,2.421,0.211,0,4.263
"UNDERSKIRT",0.3,0.05,2,0.3,0.15,3.65
"UNDERSPECIFIED",0.857,0.071,0.286,0.786,0.071,1.214
"UNDERSTAFFED",0.765,0.059,0.176,0.353,0.059,3
"UNDERSTAND",2.6,0.4,0.9,2.6,0.4,2.45
"UNDERSTANDABILITY",2.412,0.118,0.824,2.529,0.118,2.059
"UNDERSTANDABLE",2.895,0.158,0.579,2.526,0.421,2.211
"UNDERSTANDABLY",2.211,0.263,0.474,3.158,0.263,1.684
"UNDERSTANDING",3.3,0.05,0.8,1.55,0.3,2.9
"UNDERSTANDINGLY",2.421,0.474,0.526,0.895,0.263,2.158
"UNDERSTATE",1.474,0.105,0,0.684,0.105,0.684
"UNDERSTATEMENT",2.526,0.105,0.053,0.789,0.105,1.105
"UNDERSTOOD",2.588,0,0.176,2,0,2.118
"UNDERSTUDY",2.118,0.059,0.176,0.118,0.235,2.706
"UNDERSUPPLY",1.125,0.188,0.438,0.562,0.188,3
"UNDERSURFACE",0.636,0.455,2.182,0.818,0.545,2.455
"UNDERTAKE",1,0.2,0.467,0.4,0.333,2
"UNDERTAKER",1.471,0.176,0.882,0.294,0.294,3.529
"UNDERTAKING",2.35,0.1,0.55,0.8,0.05,2.5
"UNDERTONE",3.533,0.4,0.4,1.2,0.133,1.6
"UNDERTOOK",1.389,0,0.278,0.5,0,1.944
"UNDERTOW",0.25,0,2.25,0.562,0.062,1.375
"UNDERTRAINED",2.056,0.278,0.556,1.056,0.333,2.833
"UNDERUSE",1.056,0.056,0.389,1.278,0.167,2.278
"UNDERUTILIZED",1.389,0.556,0.889,1.389,0.611,2.889
"UNDERVALUATION",1.562,0.188,0.75,1.812,0.312,2.25
"UNDERVALUE",2.562,0.125,0.188,0.875,0.062,2.25
"UNDERVALUING",1.368,0.211,0.368,0.684,0.105,2.158
"UNDERWATER",1.444,0.278,3.222,1.444,0.222,3.611
"UNDERWAY",1.579,0.263,0.632,0.737,0.211,2.105
"UNDERWEAR",0.188,0,3.875,0.312,1.25,4.562
"UNDERWEIGHT",0.45,0.2,1.4,0.9,0.3,3.8
"UNDERWEIGHTED",0.263,0,1.474,0.632,0,2.842
"UNDERWENT",1.267,0,0.2,1.067,0.2,2.133
"UNDERWHELMED",1.278,0.056,0.222,2.556,0,1.889
"UNDERWIRE",0.176,0.294,3,0.353,0.118,2.588
"UNDERWORLD",1.333,0.19,0.571,0.81,0.619,2.905
"UNDERWRITE",0.938,0.062,0.438,0.25,0.125,2.938
"UNDERWRITER",1.2,0,0.333,0.2,0,2.267
"UNDERWRITING",1.667,0.133,0.467,0.267,0.133,2.133
"UNDESERVED",1.045,0,0,2.545,0,1.682
