concept,domain,subtype,source_dataset,notes,polysemy_risk,image_source,image_quality_flag,human_anchor_available
diamond,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
diaper,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dice,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dip,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dirt_bike,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dish,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dishrag,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dishwasher,sensory,"electronic device, kitchen appliance",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dishwashing_liquid,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
diskette,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
diving_board,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dog,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dogfood,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doghouse,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doily,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doll,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dollhouse,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dolly,sensory,Name,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dolphin,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
domino,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
donkey,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
donut,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
door,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doorbell,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doorhandle,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doorknob,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doorknocker,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doormat,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
doorstop,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dough,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dragonfly,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drain,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drawer,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dreidel,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dress,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dresser,sensory,"furniture, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drill,sensory,"electronic device, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drink,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drum,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
drumstick,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dryer,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duck,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duckling,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duct,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duct_tape,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duffel_bag,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dumbbell,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dumbwaiter,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dumpling,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dumpster,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
duster,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dustpan,sensory,"container, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
dynamite,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eagle,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ear,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
earplug,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
earring,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
earwig,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
easel,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
easter_egg,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eclair,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eel,sensory,"animal, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
egg,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
egg_roll,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eggbeater,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eggnog,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eggplant,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eggshell,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
elbow,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
electric_chair,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
elephant,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
emerald,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
enchilada,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
engine,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
envelope,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eraser,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
espresso,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
exerciser,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
exhaust_pipe,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
extinguisher,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eye,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eye_patch,sensory,"medical equipment, clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eyedropper,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eyeliner,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
eyepiece,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
face,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
face_mask,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fan,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fast_food,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
faucet,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
feather,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fence,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fencepost,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fern,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ferret,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ferris_wheel,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ferry,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fig,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
figurine,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
file1,sensory,tool,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
file2,sensory,office supply,things,THINGS archive exact overlap with local image support,medium,things_archive,good,yes
filing_cabinet,sensory,"furniture, container",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
film,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
filter,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
finger,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fingerprint,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fire,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fire_alarm,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fire_hydrant,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fire_pit,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
firecracker,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fireplace,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
firetruck,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
firewood,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fireworks,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
first-aid_kit,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fish,sensory,"animal, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fishbowl,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fishhook,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fishing_pole,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fishnet_stockings,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flag,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flagpole,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flamethrower,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flamingo,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flan,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flashbulb,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flashlight,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flask,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flatiron,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flip_flop,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flipper,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
float,sensory,Verb,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
floss,sensory,Verb,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flour,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flower,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flute,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fly,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flypaper,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
flyswatter,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
foam,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
folder,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fondue,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
food_processor,sensory,"electronic device, kitchen appliance",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
foot,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
football,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
football_helmet,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
footbath,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
footprint,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
footrest,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fork,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
forklift,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fossil,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fountain_pen,sensory,"office supply, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fox,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
frame,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
freezer,sensory,"electronic device, kitchen appliance",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
french_fries,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
french_horn,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
frisbee,sensory,"toy, sports equipment",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
frog,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fruit,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fruitcake,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fudge,sensory,"food, dessert",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fungus,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
funnel,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fur_coat,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
furnace,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
fuse,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gallows,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
game,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
garbage,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
garbage_truck,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gargoyle,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
garlic,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
garter,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gas_mask,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gasket,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gate,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gauge,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gauze,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gavel,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gazelle,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gear,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gearshift,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gel,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gem,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
generator,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gift,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ginger,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gingerbread_man,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
giraffe,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
girl,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
glass,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
glasses,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
globe,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
glove,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
glue,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
go-kart,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goalpost,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goat,sensory,"animal, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goblet,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goggles,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gold,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goldfish,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
golf_cart,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
golf_club,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gondola,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gong,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
goose,sensory,"animal, bird, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gopher,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gorilla,sensory,"animal, food",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gourd,sensory,"home decor, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
graffiti,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grain,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gramophone,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
granite,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
granola,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grape,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grapefruit,sensory,"food, fruit",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grapevine,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grass,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grasshopper,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grate,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grater,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gravel,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gravestone,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gravy,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
green_beans,sensory,"food, vegetable",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grenade,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grill,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grille,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grinder,sensory,"kitchen tool, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
grits,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
groundhog,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
guacamole,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
guardrail,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
guillotine,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
guinea_pig,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
guitar,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gum,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gumball,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gumdrop,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gun,sensory,weapon,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gurney,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gutter,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gyro,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
gyroscope,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hail,sensory,Verb,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hair,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hairbrush,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hairdryer,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hairnet,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hairpin,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hairspray,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ham,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hamburger,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hammer,sensory,"weapon, tool",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hammock,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hamster,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hand,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handbrake,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handcuff,sensory,Verb,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handkerchief,sensory,clothing accessory,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handle,sensory,Verb,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handlebar,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
handprint,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hanger,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hard_disk,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
harmonica,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
harness,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
harp,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hash,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hat,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hatbox,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hatchet,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hawk,sensory,"animal, bird",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hay,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headband,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headdress,sensory,"clothing, clothing accessory",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headlamp,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headlight,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headphones,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headrest,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headscarf,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
headset,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hearing_aid,sensory,medical equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hearse,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
heater,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hedge,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hedgehog,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
helicopter,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
helmet,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
highchair,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
highlighter,sensory,office supply,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hinge,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hip,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hippopotamus,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hobbyhorse,sensory,toy,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hockey_stick,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hoe,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hole,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
holster,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
home_plate,sensory,sports equipment,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
honey,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
honeycomb,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
honeypot,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hood,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hoodie,sensory,clothing,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hook1,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hook2,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hookah,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hopscotch,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
horn,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
horse,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
horseshoe,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hose,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hot_chocolate,sensory,drink,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hot_tub,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hot-air_balloon,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hot-water_bottle,sensory,container,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hotdog,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hotplate,sensory,"electronic device, kitchen appliance",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
hourglass,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
